Post,Comments
"We are hiring Fresh & Experienced Graduates at our Islamabad's office of Ovex Technologies (Pvt.) LTD for following positions. 1-Marketing Specialist 2-Business Development Executive. 3-IT Sales Professional.... 4-Presales Analyst 5-Renewal Analyst 6-Travel Desk Administrator 7-Buying Officer. 8-Software Procurement Analyst Degrees Required: BBA/MBA/BSCS/BSIT (Marketing/Supply Chain Management/Commerce) The ideal candidates must possess excellent communication skills, & Good Knowledge MS Office. Note: Bachelors degree is must. They are not programming/HR/Finance related jobs",{}
,{}
"NUCES alumnus (06 EE) contribution (Rs 62320) to the following fundraising for a little girl , started by a NUCES EE faculty member (sir Aamer Muneer)   (posted without asking for any permission from the contributor)    Target :    Rs 5.4 million  https://web.facebook.com/HelpBismah/?_rdr",{}
"Hiring candidates for the post of Service Desk Engineer - Veritas vacant at our Islamabad's office of Ovex Technologies (Pvt.) Ltd  The ideal resource must posses excellent communication skills and 3-5 years of relevant expertise of working on Active Directory, Microsoft Exchange Servers, Net Backup, Storage, Archiving. Candidates with experience of Veritas / Symantec will be preferred Salary: Negotiable (Inclusive of Benefits) Job timings: 8pm-5am (Night Shift)... Apply at: mehtisham@enpointe.com (Mention Name of The Post In Subject)",{}
,{'Asad Naveed': {}}
,{}
Registrations are open...!! Register ASAP and Grab your place.,{'Engr Jamal Khan': {}}
,{}
"Hello everyone! Due to high demand and an exceptional response for our ambassdor applications, we have decided to extend the deadline till 20th of September. Ap...ply as soon as possible and don't miss this exclusive chance of being a part of the most prestigous event of the year. To be a part of our team please fill the form and register yourself at: https://docs.google.com/…/1FAIpQLSfDCOmkAr55MO6u1R…/viewform  Ambassador Guide is provided at the following link: https://drive.google.com/…/0B5FAaaziyQfWQk9HWlp2WklMa…/view…",{}
"Hello everyone! Due to high demand and an exceptional response for our ambassdor applications, we have decided to extend the deadline till 20th of September. Apply as soon as possible and don't miss this exclusive chance of being a part of the most prestigous event of the year. To be a part of our team please fill the form and register yourself at: https://docs.google.com/…/1FAIpQLSfDCOmkAr55MO6u1R…/viewform  Ambassador Guide is provided at the following link: https://drive.google.com/…/0B5FAaaziyQfWQk9HWlp2WklMa…/view…",{}
"We are hiring Fresh Business Graduates for the position of IT Sales Professional vacant in our Islamabad's office of Ovex Technologies (Pvt.) LTD. The ideal candidate must posses Excellent Communication Skills, Good Knowledge of IT, and MS-Excel.  Degree: BBA/MBA (Marketing).  Location: Islamabad.   Salary: Excellent (With Benefits e.g Family Health Insurance, Life Insurance, Provident Fund, Annual Leaves).  ... Job Timings: 08pm-05am (Night Shift).  Apply at lubnaakbar@enpointe.com",{}
,{}
"Erasmus Mundus Masters scholarship (PERCCOM) (Applications are open)!! An Erasmus Mundus with scholarship.This call is open from September 1st 2016 to January 10th 2017 (5.00pm CET). An Erasmus Mundus without scholarship.This call is open from March 2nd, 2017 to May 31st, 2017 (5.00pm CET). The Masters Course is open to European and non-European excellent students having acquired a BSc in mathematics, physics, computer sciences, automatic control and related fields.  Bachelor’s degree of at least 180 ECTS in Computer Scie nce, Computer Engineering, Automatic/ Electrical/ Electronic Engineering or Information Technology or a closely related area.",{}
"Hiring candidates for the post of Business Analyst vacant in our Islamabad's office of Ovex Technologies (Pvt.) LTD The ideal candidate must posses excellent communication skills along with knowledge of requirement gatherings, press release and technical writing Experience: 1-3 years of working as a Business Analyst Education : BSCS / MBA with a CS or I.T background (preferred)... Salary:Market Competitive (Inclusive of Benefits) Job Timings: 8pm-5am (Night Shift)   Apply at: mehtisham@enpointe.com (Mention Name Of The Post in Subject)",{}
" Ideal candidate should have relevant work experience, high positive energy & excellent English communication skills.    Join us: careers@broadpeak.com",{}
Galxyz Inc. is looking for a young and passionate individual for the position of Jr. QA Associate for its Pakistan office.   Needs to be a good team player and serious about the field of QA.  Experience: Fresh - 1 Year *Candidates with experience in gaming QA will be preferred Interested candidates can send their CVs and cover letters at umais@galxyz.com,{'Rana Muhammad Ahsan': {}}
" IBG CONSULTING is looking forward to hire an experienced SALES SPECIALIST.   Experience: 2 – 4 years (Business Setup & Closing leads with clients)  Qualification: BBA/MBA in related field ... Location: Islamabad  Salary: Basic Salary + Commission + Allowances, Salary Revision after 6 Months  This is a target based sales oriented job, with very good and timely commission payouts  Note: Must have very good English spoken and communication skills  Skills: Sales (Direct & Indirect) Business consulting Negotiation skills Leadership skills English Communication skills ",{}
AoA. Anyone here wants to do swap from Islamabad to Faisalabad campus??? If anyone interested for swapping and anyone wants money (for his/her semester fee) and anyone who's warning counts are 2 ( His/Her warning removes if he/she changed the campus ) or tag someone who interested for swap plzz contact me....!!!,{}
" A IoT (Internet of Things) based Product Development project is looking for Software Developers for their programming needs. Fresh Graduates are encouraged to apply. Before sending us your CV, kindly review them. Add the relevant experience/ projects that you might have done. Remove any unnecessary details. Generic CVs will be discarded. Minimum Experience:... Fresh Graduates with skills in Java & JavaScript based development with added knowledge in HTML/CSS and PHP Minimum Qualifications: • Bachelor’s degree preferably Computer / Computer Software Engineering (Individuals with Server side programming and NodeJs experience will be preferred) Knowledge & Skills: • High level of understanding of technology and industry. • Passionate about creating mobile application and web based systems. • Demonstrable experience and understanding of Application level programming paradigms. • Has experience with JavaScript and HTML/CSS & PHP • Excellent organization skills • Good presentation and negotiation skills • Good organizational and time management skills Send your CVs before 6th August to electronics.cv.nust@gmail.com",{}
" A IoT (Internet of Things) based Product Development project is looking for Software Developers for their programming needs. Fresh Graduates are encouraged to apply. Before sending us your CV, kindly review them. Add the relevant experience/ projects that you might have done. Remove any unnecessary details. Generic CVs will be discarded. Minimum Experience:... Fresh Graduates with skills in Java & JavaScript based development with added knowledge in HTML/CSS and PHP Minimum Qualifications: • Bachelor’s degree preferably Computer / Computer Software Engineering (Individuals with Server side programming and NodeJs experience will be preferred) Knowledge & Skills: • High level of understanding of technology and industry. • Passionate about creating mobile application and web based systems. • Demonstrable experience and understanding of Application level programming paradigms. • Has experience with JavaScript and HTML/CSS & PHP • Excellent organization skills • Good presentation and negotiation skills • Good organizational and time management skills Send your CVs before 6th August to electronics.cv.nust@gmail.com",{}
"Urgently hiring some experienced candidates for the position of TAC Engineer (Cloud Computing) for our Islamabad's office of Ovex The ideal candidate must possess excellent communication skills, alongwith an experience of 2-4 years in  Level 1, 2 Network /NOC support, DNS, Firewalls, Cloud Computing, VMs, KVMs   Salary: Market Competitive(with benefits)  Job Timings: 8pm-5am (night shift) Apply at: mehtisham@enpointe.com (mention name of the post in subject) Only relevant candidates will be contacted",{}
"Immediate Opening: Technical marketing lead is required for US healthcare industry. Interested candidates may send your CV at zahid.ali@seecs.edu.pk Partnerships with EMR/EHR Vendors, Plan, execute and manage Provider/Patient engagement strategies, Email marketing, Website content writing, Social media marketing. Lead generation. Designing and developing partner/provider/patient marketing content. Ability to understand user’s functional requirements and document via user screens, working with development team for prioritizing dev efforts. HTML5/CSS/Javascript/Photoshop/UI/UX design. Prior inside sales experience, Consumer focused product/solution marketing, Vendor relationships expertise is required.",{}
"This can be your first step towards learning video game design & development techniques, production process and much more. Learn from industry professionals and mentors from international Industry. Apply before 8th August!",{}
